,loss,accuracy,val_loss,val_accuracy
0,0.6297830939292908,0.6555933356285095,0.45536601543426514,0.7965456247329712
1,0.37816378474235535,0.8316898941993713,0.16342230141162872,0.9515843987464905
2,0.1888389140367508,0.9251614809036255,0.0751207172870636,0.9728001952171326
3,0.11202634871006012,0.9585855007171631,0.048069149255752563,0.9843600988388062
4,0.07903381437063217,0.9713022708892822,0.01702704280614853,0.9960560202598572
5,0.058520425111055374,0.9805508255958557,0.029610183089971542,0.990208089351654
6,0.04939162731170654,0.9824549555778503,0.015380325727164745,0.9948320388793945
7,0.04241228476166725,0.9853451251983643,0.011928217485547066,0.9955120086669922
8,0.03340817987918854,0.9889153242111206,0.02971366047859192,0.9892560839653015
9,0.03532635420560837,0.9877932667732239,0.002706509316340089,0.9997280240058899
10,0.030692847445607185,0.9888473153114319,0.008650347590446472,0.9972800016403198
11,0.029554832726716995,0.9894253611564636,0.004803562071174383,0.9989120364189148
12,0.028452470898628235,0.9901733994483948,0.0063251289539039135,0.9993200302124023
13,0.023793302476406097,0.9913294911384583,0.00490989163517952,0.9983680248260498
14,0.02204042114317417,0.992485523223877,0.004386087879538536,0.9985039830207825
